SQL> exec assignJobTitlesAndSalaries

PL/SQL procedure successfully completed.

SQL> Select * from AlphaCoEmp;

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Perez                     assistant                600000                       
Utech                     advisor                  130000                       
Vega                      advisor                  130000                       
Whitty                    supervisor               800000                       
Wilson                    assistant                600000                       
Reinstein                 manager                  500000                       
Sathe                     assistant                600000                       
Schulman                  manager                  500000                       
Shapiro                   director                 100000                       
Sher                      advisor                  130000                       
Siegel                    manager                  500000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Stephens                  advisor                  130000                       
Sutton                    assistant                600000                       
Anello                    assistant                600000                       
Bates                     supervisor               800000                       
Chaifetz                  assistant                600000                       
Clarke                    supervisor               800000                       
Crutchfield               assistant                600000                       
Ealons                    assistant                600000                       
Farrell                   assistant                600000                       
Groth                     manager                  500000                       
Heimbach                  advisor                  130000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Kennedy                   director                 100000                       
Lewis                     supervisor               800000                       
Liddell-Westefeld         director                 100000                       
London                    manager                  500000                       
Maher                     director                 100000                       
Monje, Jr.                advisor                  130000                       
Nicholson, Jr.            director                 100000                       
Oleske                    assistant                600000                       
Terry                     assistant                600000                       
Wear                      assistant                600000                       
Yeager Kaplan             manager                  500000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Young, Jr.                manager                  500000                       
Reed                      manager                  500000                       
Ryan                      manager                  500000                       
Sass                      advisor                  130000                       
Schwartz                  assistant                600000                       
Singiser                  director                 100000                       
Starkey                   director                 100000                       
Tamarin                   manager                  500000                       
Agnew                     supervisor               800000                       
Beliveau                  director                 100000                       
Brennan                   assistant                600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Carrier                   assistant                600000                       
Cizner                    advisor                  130000                       
Cokley                    assistant                600000                       
Cutter                    manager                  500000                       
Deese                     advisor                  130000                       
Donilon                   director                 100000                       
Dorsett                   advisor                  130000                       
Frank                     advisor                  130000                       
Frankel                   advisor                  130000                       
Gonzalez                  manager                  500000                       
Hoang                     director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Inouye                    assistant                600000                       
Kelleher, Jr.             assistant                600000                       
Lynn                      manager                  500000                       
McCarthy                  director                 100000                       
McGinnis                  manager                  500000                       
